population_size,motation_chance,death_treshold,generation_num,calls_to_fit,best_fit
80,0.2,0.8,72,4853,92.24873363706153
80,0.2,0.8,86,5880,78.91639271953171
80,0.2,0.8,88,5869,93.91789248298345
80,0.2,0.8,72,4857,93.9669774154639
80,0.2,0.8,115,8239,93.9669774154639
80,0.2,0.8,62,4028,93.66897931074936
80,0.2,0.8,93,6411,93.9669774154639
80,0.4,0.8,59,4807,93.9669774154639
80,0.4,0.8,61,5091,93.9669774154639
80,0.4,0.8,44,3576,93.82927307999837
80,0.4,0.8,85,7114,93.9669774154639
80,0.4,0.8,42,3436,93.9669774154639
80,0.4,0.8,50,3954,93.82927307999837
80,0.4,0.8,62,4934,93.9669774154639
80,0.4,0.8,65,5485,93.9669774154639
80,0.4,0.8,59,4818,93.9669774154639
80,0.4,0.8,69,5428,93.9669774154639
80,0.6,0.8,47,4743,93.9669774154639
80,0.6,0.8,66,6232,93.9669774154639
80,0.6,0.8,65,6365,93.9669774154639
80,0.6,0.8,82,8063,93.9669774154639
80,0.6,0.8,44,4270,92.30702943434054
80,0.6,0.8,57,5545,93.93899234083703
80,0.6,0.8,59,5960,93.9669774154639
80,0.6,0.8,72,6902,93.9669774154639
80,0.6,0.8,52,5122,93.9669774154639
80,0.6,0.8,57,5511,93.80673695111895
80,0.8,0.8,53,5977,93.83466872084178
80,0.8,0.8,50,5661,93.9669774154639
80,0.8,0.8,50,5739,93.9669774154639
80,0.8,0.8,48,5494,93.93899234083703
80,0.8,0.8,82,9663,93.9669774154639
80,0.8,0.8,51,5899,93.9669774154639
80,0.8,0.8,66,7340,93.9669774154639
80,0.8,0.8,73,8530,93.9669774154639
80,0.8,0.8,56,6539,93.9669774154639
80,0.8,0.8,69,7825,93.9669774154639
100,0.2,0.8,58,4732,93.93899234083703
100,0.2,0.8,46,3806,90.53654464963934
100,0.2,0.8,47,4206,83.4606905524513
100,0.2,0.8,72,5877,90.18120193679663
100,0.2,0.8,61,4941,93.93899234083703
100,0.2,0.8,67,6570,46.23117990762347
100,0.2,0.8,86,7859,92.8764652172558
100,0.2,0.8,83,7025,93.9669774154639
100,0.2,0.8,59,5117,82.08856772373564
100,0.2,0.8,88,7739,77.3966467146038
100,0.4,0.8,58,5902,93.9669774154639
100,0.4,0.8,55,5433,93.81358218921419
100,0.4,0.8,68,6960,93.9669774154639
100,0.4,0.8,58,5941,93.9669774154639
100,0.4,0.8,54,5770,93.9669774154639
100,0.4,0.8,56,6038,93.9669774154639
100,0.4,0.8,59,6151,93.82927307999837
100,0.4,0.8,60,6352,93.9669774154639
100,0.4,0.8,53,5454,93.69709764763637
100,0.4,0.8,67,6880,93.93899234083703
100,0.6,0.8,55,6689,93.9669774154639
100,0.6,0.8,45,5403,93.9669774154639
100,0.6,0.8,60,7266,93.9669774154639
100,0.6,0.8,53,6504,93.9669774154639
100,0.6,0.8,62,7566,93.9669774154639
100,0.6,0.8,41,4985,92.68387563203795
100,0.6,0.8,42,5068,93.9669774154639
100,0.6,0.8,44,5434,93.9669774154639
100,0.6,0.8,55,6610,93.9669774154639
100,0.6,0.8,47,5764,93.9669774154639
100,0.8,0.8,48,6883,93.9669774154639
100,0.8,0.8,44,6234,93.9669774154639
100,0.8,0.8,46,6672,93.9669774154639
100,0.8,0.8,46,6603,92.14047014526726
100,0.8,0.8,43,6044,93.9669774154639
100,0.8,0.8,57,8244,93.93899234083703
100,0.8,0.8,45,6240,93.9669774154639
100,0.8,0.8,45,6364,93.9669774154639
100,0.8,0.8,42,6046,93.9669774154639
100,0.8,0.8,41,5766,93.83466872084178
150,0.2,0.8,59,7180,93.9669774154639
150,0.2,0.8,59,7406,93.9669774154639
150,0.2,0.8,42,5587,85.48616498499428
150,0.2,0.8,67,8249,93.9669774154639
150,0.2,0.8,50,6416,92.1555209060736
150,0.2,0.8,64,8161,93.9669774154639
150,0.2,0.8,55,6655,92.35888059572062
150,0.2,0.8,72,8865,93.9669774154639
150,0.2,0.8,83,11366,77.70087157219854
150,0.2,0.8,79,9949,93.9669774154639
150,0.4,0.8,54,8205,93.9669774154639
150,0.4,0.8,62,9493,93.9669774154639
150,0.4,0.8,57,8582,93.9669774154639
150,0.4,0.8,65,10274,93.9669774154639
150,0.4,0.8,51,7840,93.9669774154639
150,0.4,0.8,47,7138,93.9669774154639
150,0.4,0.8,41,6328,93.83466872084178
150,0.4,0.8,40,6279,93.9669774154639
150,0.4,0.8,55,8235,93.9669774154639
150,0.4,0.8,68,10638,93.9669774154639
150,0.6,0.8,37,6691,93.9669774154639
150,0.6,0.8,42,7672,93.9669774154639
150,0.6,0.8,46,8568,93.9669774154639
150,0.6,0.8,43,7953,93.9669774154639
150,0.6,0.8,44,8170,93.9669774154639
150,0.6,0.8,45,8294,93.9669774154639
150,0.6,0.8,60,11156,87.19033920836627
150,0.6,0.8,56,10341,93.9669774154639
150,0.6,0.8,39,7198,93.9669774154639
150,0.6,0.8,51,9290,93.9669774154639
150,0.8,0.8,48,10247,93.9669774154639
150,0.8,0.8,38,8017,93.9669774154639
150,0.8,0.8,46,9861,93.9669774154639
150,0.8,0.8,37,7826,93.9669774154639
150,0.8,0.8,45,9894,93.9669774154639
150,0.8,0.8,39,8216,93.9669774154639
150,0.8,0.8,39,8353,93.9669774154639
150,0.8,0.8,43,9104,93.9669774154639
150,0.8,0.8,43,9210,93.9669774154639
150,0.8,0.8,45,9714,93.9669774154639
