population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
60,0.2,5,0.8,17,1062,36.70401031855789
60,0.2,5,0.8,16,994,41.72781098410296
60,0.4,1,0.8,15,936,42.46698240606823
60,0.4,1,0.8,19,1168,38.49808358153041
60,0.4,3,0.8,23,1404,47.030843950566435
60,0.4,3,0.8,25,1530,44.78091198602392
60,0.4,5,0.8,20,1226,45.80233686737185
60,0.4,5,0.8,27,1634,42.886566710393666
60,0.6,1,0.8,21,1286,35.80220241771082
60,0.6,1,0.8,17,1054,41.36504462551337
60,0.6,3,0.8,15,936,40.68345500969802
60,0.6,3,0.8,25,1538,37.3828613636053
60,0.6,5,0.8,14,880,39.41422684928049
60,0.6,5,0.8,31,1772,55.97533734222868
60,0.8,1,0.8,19,1170,43.77342274821986
60,0.8,1,0.8,20,1172,54.126449720987964
60,0.8,3,0.8,27,1536,53.49972567414965
60,0.8,3,0.8,23,1406,43.607934214417426
60,0.8,5,0.8,22,1360,38.14757634881702
60,0.8,5,0.8,18,1116,38.010602010965826
80,0.2,1,0.8,16,1392,34.99472031803188
80,0.2,1,0.8,16,1330,37.57374405937139
80,0.2,3,0.8,22,1796,41.301316471412086
80,0.2,3,0.8,14,1228,31.527397193395334
80,0.2,5,0.8,30,2412,42.88549839515791
80,0.2,5,0.8,21,1690,44.76455106046524
80,0.4,1,0.8,49,3746,53.203558429547236
80,0.4,1,0.8,37,2968,52.91396528611314
80,0.4,3,0.8,13,1084,39.907547218536024
80,0.4,3,0.8,24,1944,48.0462332894096
80,0.4,5,0.8,19,1552,45.15786527941379
80,0.4,5,0.8,45,3416,64.39481281363744
80,0.6,1,0.8,41,3206,55.17215954935405
80,0.6,1,0.8,17,1388,40.6593755293732
80,0.6,3,0.8,13,1084,40.26462767228625
80,0.6,3,0.8,36,2808,50.992570488694554
80,0.6,5,0.8,29,2378,38.67073974998881
80,0.6,5,0.8,23,1802,51.26689975991049
80,0.8,1,0.8,14,1158,41.757753571832396
80,0.8,1,0.8,29,2206,65.47262396392993
80,0.8,3,0.8,14,1126,51.32141871706237
80,0.8,3,0.8,18,1474,45.31074533778825
80,0.8,5,0.8,17,1402,38.92585717790708
80,0.8,5,0.8,18,1494,37.74233357826875
100,0.2,1,0.8,13,1404,38.010611540459955
100,0.2,1,0.8,31,3206,38.90311688699982
100,0.2,3,0.8,42,4156,50.451833022388065
100,0.2,3,0.8,23,2402,37.636804652385344
100,0.2,5,0.8,32,3014,61.245931195152274
100,0.2,5,0.8,20,2108,39.15063242235584
100,0.4,1,0.8,28,2726,53.988440513156
100,0.4,1,0.8,40,3822,67.98085593381536
