population_size,motation_chance,death_treshold,generation_num,best_fit
40,0.6,0.2,58,80.9276678876679
40,0.6,0.2,87,45.90653266069545
40,0.6,0.2,83,92.35888059572062
40,0.6,0.2,86,79.13683779218294
40,0.6,0.2,77,93.83466872084178
40,0.6,0.2,75,93.9669774154639
40,0.6,0.2,81,45.43909069009349
40,0.6,0.2,97,93.9669774154639
40,0.6,0.2,56,92.22082526226882
40,0.6,0.6,59,92.68387563203795
40,0.6,0.6,82,93.69709764763637
40,0.6,0.6,79,93.9669774154639
40,0.6,0.6,81,93.9669774154639
40,0.6,0.6,55,86.08290402357801
40,0.6,0.6,96,92.35888059572062
40,0.6,0.6,82,44.22522359093022
40,0.6,0.6,70,93.67599778978278
40,0.6,0.6,60,88.89962772095235
40,0.6,0.6,58,90.14373551847198
60,0.2,0.1,112,85.41039116252736
60,0.2,0.1,52,87.70487693742825
60,0.2,0.1,102,93.82927307999837
60,0.2,0.1,127,93.9669774154639
60,0.2,0.1,85,93.8012880053715
60,0.2,0.1,102,89.82162856215095
60,0.2,0.1,67,88.21327708335403
60,0.2,0.1,104,91.68145143336142
60,0.2,0.1,88,89.44304653317246
60,0.2,0.1,93,83.23296598043333
60,0.2,0.2,99,79.63074085895448
60,0.2,0.2,112,90.70125947513309
60,0.2,0.2,77,93.7801881475179
60,0.2,0.2,61,84.83765801880541
60,0.2,0.2,90,93.82927307999837
60,0.2,0.2,100,93.69709764763637
60,0.2,0.2,105,87.10113106886895
60,0.2,0.2,87,91.1758549680005
60,0.2,0.2,136,59.25769197168917
60,0.2,0.2,102,89.97043244172907
60,0.2,0.6,65,78.4137051350391
60,0.2,0.6,83,92.81579175825212
60,0.2,0.6,75,82.06440060897852
60,0.2,0.6,79,84.18518621640591
60,0.2,0.6,108,92.01826166008536
60,0.2,0.6,72,76.23789897395308
60,0.2,0.6,90,80.87701740941479
60,0.2,0.6,79,90.46384023159676
60,0.2,0.6,84,75.20232806890456
60,0.2,0.6,93,93.9669774154639
60,0.4,0.1,73,93.81358218921419
60,0.4,0.1,96,93.9458775576103
