population_size,motation_chance,death_treshold,generation_num,calls_to_fit,best_fit
100,0.8,0.6,52,7417,93.9669774154639
100,0.8,0.6,54,7758,93.9669774154639
100,0.8,0.6,84,12332,93.9669774154639
100,0.8,0.6,59,8171,93.9669774154639
100,0.8,0.6,60,8583,93.9669774154639
150,0.2,0.6,45,5769,91.37482198590175
150,0.2,0.6,62,7494,93.93899234083703
150,0.2,0.6,62,7523,93.9669774154639
150,0.2,0.6,59,7685,93.9458775576103
150,0.2,0.6,67,8327,93.9669774154639
150,0.2,0.6,76,9123,93.9669774154639
150,0.2,0.6,62,7496,93.9669774154639
150,0.2,0.6,68,9058,92.01826166008536
150,0.2,0.6,61,7798,93.9669774154639
150,0.2,0.6,47,5749,93.8012880053715
150,0.4,0.6,56,8794,93.9669774154639
150,0.4,0.6,49,8688,46.84300330007886
150,0.4,0.6,61,9475,93.91789248298345
150,0.4,0.6,46,7273,93.9669774154639
150,0.4,0.6,46,7082,93.9669774154639
150,0.4,0.6,51,7916,93.9669774154639
150,0.4,0.6,50,7961,91.34231591946612
150,0.4,0.6,64,9821,93.9669774154639
150,0.4,0.6,57,8776,93.9669774154639
150,0.4,0.6,55,8619,93.9669774154639
150,0.6,0.6,44,8018,93.9669774154639
150,0.6,0.6,44,7990,93.9669774154639
150,0.6,0.6,44,7987,93.9669774154639
150,0.6,0.6,47,8571,93.9669774154639
150,0.6,0.6,46,8423,93.9669774154639
150,0.6,0.6,62,11821,93.9669774154639
150,0.6,0.6,55,10279,93.9669774154639
150,0.6,0.6,42,7729,93.9669774154639
150,0.6,0.6,59,11139,93.9669774154639
150,0.6,0.6,43,7932,93.9669774154639
150,0.8,0.6,42,8906,93.9669774154639
150,0.8,0.6,39,8257,93.9669774154639
150,0.8,0.6,51,10823,93.9669774154639
150,0.8,0.6,50,10501,93.9669774154639
150,0.8,0.6,48,10388,93.9669774154639
150,0.8,0.6,51,11062,93.9669774154639
150,0.8,0.6,49,10663,93.9669774154639
150,0.8,0.6,40,8649,93.9669774154639
150,0.8,0.6,41,8852,93.81358218921419
150,0.8,0.6,65,14032,93.93899234083703
