population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.4,5,0.6,90,10190,89.19140832529826
40,0.4,5,0.6,62,7047,84.45949287290239
40,0.4,5,0.6,86,10087,88.10919713811273
40,0.4,5,0.6,89,10217,83.38634062377298
40,0.4,5,0.6,52,5810,93.80673695111895
40,0.6,1,0.6,82,4574,92.1555209060736
40,0.6,1,0.6,77,4479,93.93899234083703
40,0.6,1,0.6,59,3934,45.17552593110662
40,0.6,1,0.6,111,6765,86.91222258721794
40,0.6,1,0.6,86,5157,90.77203355905083
40,0.6,1,0.6,63,3671,90.52237755869753
40,0.6,1,0.6,63,3593,87.42711323528253
40,0.6,1,0.6,67,3716,93.9669774154639
40,0.6,1,0.6,59,3565,82.7156248822177
40,0.6,1,0.6,80,4598,93.9669774154639
40,0.6,3,0.6,62,5593,91.43069863620002
40,0.6,3,0.6,69,6149,93.9669774154639
40,0.6,3,0.6,81,7262,93.9669774154639
40,0.6,3,0.6,70,6229,93.9669774154639
40,0.6,3,0.6,63,5640,93.9458775576103
40,0.6,3,0.6,82,7546,93.9669774154639
40,0.6,3,0.6,68,6044,93.9669774154639
40,0.6,3,0.6,53,5235,48.4130689576282
40,0.6,3,0.6,49,4380,91.40821602759802
40,0.6,3,0.6,68,6109,91.56548768551102
40,0.6,5,0.6,74,9010,93.9669774154639
40,0.6,5,0.6,55,6693,91.8818322002417
40,0.6,5,0.6,79,9550,93.9669774154639
40,0.6,5,0.6,87,10407,93.9669774154639
40,0.6,5,0.6,53,6469,91.13641595086092
40,0.6,5,0.6,78,10215,46.19033939034639
40,0.6,5,0.6,101,12489,93.9669774154639
40,0.6,5,0.6,81,9982,86.12287205280208
40,0.6,5,0.6,69,8236,93.9669774154639
40,0.6,5,0.6,72,8912,84.46919137273382
40,0.8,1,0.6,68,4429,93.9669774154639
40,0.8,1,0.6,77,4933,93.93899234083703
40,0.8,1,0.6,38,2592,88.5432671800629
40,0.8,1,0.6,53,3469,90.17380362511659
40,0.8,1,0.6,58,3645,93.9669774154639
40,0.8,1,0.6,85,5781,91.96924047138599
40,0.8,1,0.6,52,3449,90.72235933298667
40,0.8,1,0.6,61,3983,92.35888059572062
40,0.8,1,0.6,88,5618,93.9669774154639
40,0.8,1,0.6,59,3871,90.26697196822664
40,0.8,3,0.6,79,7732,90.65931533122765
40,0.8,3,0.6,57,5645,93.9669774154639
40,0.8,3,0.6,66,6342,93.9669774154639
40,0.8,3,0.6,71,6937,93.9669774154639
40,0.8,3,0.6,62,5936,93.9669774154639
40,0.8,3,0.6,69,6864,92.33778073786702
40,0.8,3,0.6,59,5745,92.81579175825212
40,0.8,3,0.6,52,5029,93.9669774154639
40,0.8,3,0.6,67,6448,93.9669774154639
40,0.8,3,0.6,61,5899,93.9669774154639
40,0.8,5,0.6,80,10293,91.96175636164209
40,0.8,5,0.6,75,9620,93.69709764763637
40,0.8,5,0.6,70,8924,93.9669774154639
40,0.8,5,0.6,108,14442,91.70943650798827
40,0.8,5,0.6,61,8000,91.57237290228429
40,0.8,5,0.6,90,12432,45.95765604420455
40,0.8,5,0.6,61,7747,93.9669774154639
40,0.8,5,0.6,57,7476,93.9669774154639
40,0.8,5,0.6,61,7818,90.17750175948638
40,0.8,5,0.6,53,6964,80.2087409105716
60,0.2,1,0.6,89,6392,93.7801881475179
60,0.2,1,0.6,18,1542,42.29093961205668
60,0.2,1,0.6,81,6194,74.3651108851762
60,0.2,1,0.6,168,13321,92.35888059572062
60,0.2,1,0.6,100,8261,46.26351414676741
60,0.2,1,0.6,130,10175,86.73183116789927
60,0.2,1,0.6,90,6775,92.24873363706153
60,0.2,1,0.6,100,7364,93.9458775576103
60,0.2,1,0.6,67,5079,84.74743340821699
60,0.2,1,0.6,99,7596,81.13970095798688
